id,shape,color,cut,clarity,polish,symmetry,florescence
83795,7,1,1,0,1,1,4
87225,8,2,3,5,2,2,4
96504,4,2,1,3,1,1,4
80029,0,3,2,2,1,1,4
69040,0,3,2,4,2,2,2
37378,0,6,2,4,1,1,4
75917,0,4,2,3,2,2,4
91876,0,6,1,1,2,1,4
29235,7,4,1,0,1,0,4
70581,0,2,2,2,2,2,4
17433,0,4,2,2,2,2,4
81761,0,4,1,2,1,0,4
46829,0,5,2,4,2,2,4
91432,1,3,1,5,2,0,4
56198,0,5,2,1,2,1,3
13171,0,2,1,3,2,1,4
105956,1,6,1,5,2,1,4
23367,0,3,2,3,2,2,4
56754,0,6,2,2,2,2,3
39815,7,5,1,1,1,0,3
33807,0,5,2,1,2,2,3
74300,2,4,1,3,2,1,4
37270,0,4,2,1,2,2,4
99983,0,3,1,3,1,1,1
100388,0,2,2,1,2,2,4
73790,0,0,2,1,1,1,4
85347,0,6,2,4,2,2,3
4472,0,4,2,3,2,2,4
19031,0,6,2,3,2,2,3
67836,0,5,1,1,2,2,4
78648,7,4,1,2,2,1,4
57217,0,4,2,1,2,2,4
12447,0,4,2,1,2,1,4
8512,0,2,2,3,2,2,4
75300,7,5,1,1,2,1,1
15265,0,3,2,4,1,2,4
31382,0,5,1,2,2,2,4
107910,0,5,2,4,2,2,1
4938,0,4,0,2,1,1,4
99088,0,2,1,5,2,1,2
38773,9,6,1,3,1,1,1
113343,0,4,2,5,2,2,4
113504,0,1,2,4,2,2,4
38742,7,5,1,1,2,0,3
59257,0,5,2,2,2,2,3
91418,0,2,1,3,2,1,4
102830,8,1,1,2,1,1,4
31023,0,1,2,5,2,2,4
108493,0,4,2,2,2,2,4
80137,0,1,2,5,2,2,3
17915,0,4,2,0,1,2,4
5490,0,0,2,5,2,2,3
100440,0,3,2,3,2,1,1
1652,8,5,0,3,1,0,4
944,8,6,3,3,2,1,2
19893,0,4,2,0,2,2,4
87306,0,3,2,2,2,2,3
62018,0,6,2,5,2,2,4
100089,1,3,1,1,1,1,3
95198,0,3,1,0,2,1,4
64024,0,5,2,2,2,2,4
932,0,1,2,2,2,2,3
108205,0,4,2,3,2,2,2
7525,0,0,2,0,2,2,2
22976,7,2,1,1,1,0,4
38476,0,6,1,3,2,1,4
50278,0,6,0,4,2,1,4
114673,7,2,1,1,1,0,4
91012,0,1,2,2,2,2,4
49459,0,4,2,5,2,2,4
64348,0,0,2,4,2,2,2
110916,0,6,2,4,2,2,3
73985,8,5,1,0,1,1,4
3683,8,3,3,2,2,1,4
103157,8,4,1,0,2,1,4
113881,0,2,2,4,2,2,4
104335,0,2,2,4,2,2,4
37267,0,3,2,1,2,2,4
53927,0,2,2,2,2,2,4
45332,0,4,2,3,2,2,4
4758,0,6,2,1,2,2,2
114875,6,3,1,7,2,2,1
58396,0,3,2,1,2,2,4
72721,2,4,1,0,1,0,4
82305,8,6,1,2,2,1,4
107902,8,1,3,3,2,1,4
51573,0,3,1,4,2,2,4
96517,0,6,1,0,2,1,4
15684,0,3,2,6,2,2,3
48283,0,6,2,0,2,2,4
41325,0,4,2,4,2,2,3
97431,2,3,1,6,2,1,3
58368,0,5,2,1,1,2,1
97279,0,4,2,0,2,2,3
53179,0,1,2,4,2,2,4
102428,0,6,1,2,1,2,3
33244,0,1,2,1,2,1,4
89541,6,1,1,2,2,2,3
53599,1,5,1,1,1,1,4
48125,9,3,1,6,1,1,3
25878,0,5,2,1,2,2,4
29241,4,2,1,3,2,0,3
16387,0,4,1,4,2,2,4
20724,0,5,2,6,2,2,3
89845,0,0,2,3,2,2,3
22400,0,4,2,2,2,2,4
29305,0,4,2,1,2,2,4
100946,8,3,3,2,2,2,3
44217,0,0,2,3,1,1,4
49508,0,1,2,2,2,2,4
4920,0,0,2,4,2,2,4
2581,0,1,2,1,2,1,2
10676,0,4,1,1,2,2,4
34208,0,3,2,4,2,2,2
25252,0,5,2,1,1,2,4
84058,7,5,1,1,2,1,4
112787,0,3,2,0,2,2,1
69801,0,3,2,4,2,2,4
60132,5,1,1,1,2,1,3
